,City,Cloudiness,Country Code,Date,Humidity,Lat,Lng,Max Temp (F),Wind Speed
136,Gao,0,ML,1520913243,32,16.28,-0.04,68.4,2.93
137,Port Macquarie,75,AU,1520910000,54,-31.43,152.91,78.8,10.29
138,Dabakala,24,CI,1520913244,97,8.36,-4.43,71.19,4.5
139,Karratha,0,AU,1520913244,47,-20.74,116.85,92.79,4.27
140,Brae,12,GB,1520911200,96,60.4,-1.35,39.2,9.17
141,Shimoda,20,JP,1520910540,51,34.7,138.93,64.4,21.92
142,Ovalle,0,CL,1520912985,91,-30.6,-71.2,57.96,3.15
143,Husavik,40,IS,1520910000,68,66.04,-17.34,28.4,8.05
144,Meulaboh,0,ID,1520913246,100,4.14,96.13,82.89,2.82
145,Taoudenni,0,ML,1520913247,18,22.68,-3.98,57.33,4.5
146,Port Blair,20,IN,1520913247,100,11.67,92.75,83.79,11.21
147,La Palma,88,PA,1520913248,90,8.4,-78.14,77.67,2.04
148,Iwanai,92,JP,1520913249,93,42.97,140.51,43.2,21.72
149,Ketchikan,20,US,1520909760,35,55.34,-131.65,59.0,6.93
150,Longyearbyen,0,SJ,1520909400,71,78.22,15.64,3.2,2.24
151,Tura,0,RU,1520913250,67,64.27,100.22,-9.91,2.93
152,Arman,44,RU,1520910000,49,59.7,150.17,3.2,2.24
153,Tiksi,8,RU,1520913251,76,71.64,128.87,-25.39,4.38
154,Kaitangata,44,NZ,1520913251,56,-46.28,169.85,55.89,22.5
155,Sarakhs,92,IR,1520910000,100,36.54,61.16,50.0,6.93
156,Namatanai,92,PG,1520913252,100,-3.66,152.44,82.98,12.44
157,Floriano,32,BR,1520913252,94,-6.77,-43.02,70.29,2.82
158,Yerofey Pavlovich,76,RU,1520913253,52,53.97,121.97,16.65,3.49
159,Chuy,44,UY,1520913253,98,-33.69,-53.46,61.29,4.72
160,Batagay-Alyta,12,RU,1520913254,79,67.8,130.41,-14.14,4.16
161,Tasiilaq,12,GL,1520909400,48,65.61,-37.64,21.2,17.22
162,Port Elizabeth,0,ZA,1520910000,88,-33.92,25.57,68.0,10.29
163,Montes Claros,20,BR,1520910000,100,-16.73,-43.87,73.4,4.16
164,Jimo,0,CN,1520910000,35,36.39,120.46,69.8,20.13
165,Awjilah,0,LY,1520913256,60,29.14,21.3,57.15,8.19
166,Haverfordwest,0,GB,1520909400,87,51.8,-4.97,44.6,9.17
167,Muros,40,ES,1520911800,93,42.77,-9.06,42.8,5.82
168,Adrar,0,DZ,1520910000,18,27.87,-0.29,64.4,17.22
169,Mayumba,88,GA,1520913258,100,-3.44,10.65,77.4,2.26
170,Angoche,0,MZ,1520913258,100,-16.23,39.91,84.15,9.75
171,Hovd,48,MN,1520913259,43,48.01,91.64,41.76,4.94
172,Jemnice,0,CZ,1520910000,86,49.02,15.57,39.2,10.29
173,Port Lincoln,0,AU,1520913259,85,-34.72,135.86,67.5,11.54
174,Macuspana,5,MX,1520908800,83,17.76,-92.6,75.2,3.38
175,San Felipe,48,MX,1520913260,79,31.02,-114.84,70.29,9.42
176,Sao Filipe,0,CV,1520913261,92,14.9,-24.5,71.73,17.47
177,Skelleftea,92,SE,1520911200,92,64.75,20.95,21.2,8.05
178,San Patricio,0,MX,1520913262,100,19.22,-104.7,70.29,2.59
179,San Felipe,0,VE,1520913262,61,10.34,-68.74,74.07,3.6
180,Kruisfontein,0,ZA,1520913263,76,-34.0,24.73,65.7,11.65
181,Chivay,92,PE,1520913263,100,-15.64,-71.6,38.79,2.82
182,Bilibino,20,RU,1520913264,52,68.06,166.44,-19.0,3.15
183,Bulungu,20,CD,1520913264,96,-4.54,18.6,69.12,3.04
184,Aleppo,0,SY,1520913264,93,36.2,37.17,44.37,5.17
185,Nishihara,0,JP,1520910000,44,35.74,139.53,59.0,3.36
186,Caravelas,64,BR,1520913265,100,-17.73,-39.27,80.55,15.68
187,Camden,90,US,1520912940,97,39.94,-75.12,35.6,11.41
188,Gainesville,1,US,1520912100,86,29.65,-82.33,48.2,10.2
189,Northam,0,AU,1520910000,29,-31.65,116.67,91.4,10.29
190,Okato,100,NZ,1520913268,96,-39.19,173.88,67.05,21.83
191,Aanekoski,90,FI,1520911200,96,62.6,25.73,32.0,5.82
192,Geraldton,8,AU,1520910660,15,-28.77,114.6,104.0,21.92
193,Morris,1,US,1520912100,62,41.36,-88.42,35.6,4.7
194,Carutapera,88,BR,1520913271,85,-1.2,-46.02,80.1,8.63
195,Port-Gentil,68,GA,1520913271,98,-0.72,8.78,81.0,3.71
196,Verkhoyansk,0,RU,1520913271,71,67.55,133.39,-16.84,3.38
197,Zempoala,88,MX,1520913272,94,20.09,-98.0,49.23,1.92
198,Clyde River,90,CA,1520910000,75,70.47,-68.59,-14.81,3.36
199,Mount Darwin,24,ZW,1520913272,84,-16.77,31.58,65.25,6.85
200,Millinocket,90,US,1520909760,85,45.66,-68.71,32.0,5.82
201,Meiktila,0,MM,1520913273,38,20.88,95.86,84.33,4.5
202,Pasni,0,PK,1520913273,100,25.26,63.48,71.1,4.16
203,Lorengau,76,PG,1520913274,100,-2.02,147.27,81.27,11.88
204,Maceio,0,BR,1520910000,83,-9.67,-35.74,77.0,6.93
205,Bodrum,75,TR,1520911200,67,37.04,27.43,60.8,9.17
206,Mogadishu,76,SO,1520913071,100,2.04,45.34,80.37,11.43
207,Jiwani,8,PK,1520913276,94,25.05,61.74,66.42,3.94
208,Port Augusta,0,AU,1520910000,49,-32.49,137.76,69.8,16.11
209,Sioux Lookout,20,CA,1520910000,72,50.1,-91.92,23.0,3.36
210,Wuzhou,0,CN,1520913277,70,23.48,111.3,74.25,6.4
211,Sur,0,OM,1520913278,92,22.57,59.53,74.61,8.75
212,Sri Aman,75,MY,1520910000,94,1.24,111.46,77.0,2.82
213,Tsuyama,0,JP,1520910000,38,35.14,134.03,60.8,10.29
214,Ostrovnoy,76,RU,1520913280,87,68.05,39.51,21.87,7.63
215,San Cristobal,20,VE,1520910000,45,7.77,-72.22,86.0,14.99
216,Todos Santos,75,MX,1520909220,41,23.45,-110.23,75.2,5.82
217,Provideniya,90,RU,1520910000,70,64.42,-173.23,-2.21,17.9
218,Borovoy,80,RU,1520913282,81,63.23,52.89,16.47,9.98
219,Vila Franca do Campo,40,PT,1520911800,87,37.72,-25.43,60.8,21.92
220,Impfondo,68,CG,1520913283,98,1.64,18.07,69.93,4.16
221,Sao Joao da Barra,0,BR,1520913283,99,-21.64,-41.05,79.92,11.88
222,Morondava,0,MG,1520913284,93,-20.3,44.28,78.75,2.71
223,Zhangjiakou,0,CN,1520913284,74,40.77,114.88,53.55,3.94
224,Saint-Pierre,44,PM,1520913285,93,46.77,-56.17,35.01,13.78
225,Jhang,64,PK,1520910000,59,33.67,72.7,66.2,11.41
226,Mount Gambier,48,AU,1520913239,64,-37.83,140.78,67.59,5.5
227,Victoria,75,SC,1520910000,83,-4.62,55.45,82.4,14.99
228,Saint-Georges,32,CA,1520913287,79,46.12,-70.67,28.17,4.61
229,Kununurra,8,AU,1520910000,38,-15.77,128.74,93.2,12.75
230,Wiang Sa,20,TH,1520910000,66,8.64,99.37,86.0,4.7
231,Wittlich,90,DE,1520911620,93,49.98,6.89,42.8,17.22
232,Itarema,88,BR,1520913289,90,-2.92,-39.92,78.3,4.72
233,Gwadar,12,PK,1520913289,98,25.12,62.33,69.39,2.37
234,Shache,8,CN,1520913289,56,38.42,77.24,48.6,4.61
235,Batemans Bay,56,AU,1520913290,85,-35.71,150.18,66.6,1.25
236,Umtata,0,ZA,1520910000,87,-31.59,28.78,60.8,4.7
237,Chapais,90,CA,1520911800,92,49.78,-74.86,26.6,4.7
238,Eirunepe,0,BR,1520913291,95,-6.66,-69.87,76.32,1.81
239,Sault Sainte Marie,20,CA,1520910000,74,46.49,-84.36,28.4,5.82
240,Birecik,0,TR,1520911200,86,37.03,37.98,39.2,2.71
241,San Jose,88,GT,1520913293,96,16.98,-89.9,71.01,3.6
242,Tacuarembo,0,UY,1520913293,75,-31.73,-55.98,53.55,2.59
243,Mount Pleasant,1,US,1520912100,93,32.79,-79.86,39.2,4.7
244,Gazipur,75,BD,1520910000,74,24.0,90.42,82.4,6.93
245,Ontario,90,US,1520910240,68,34.07,-117.65,64.4,10.29
246,Klaksvik,88,FO,1520911200,59,62.23,-6.59,37.4,18.34
247,Saint-Joseph,0,RE,1520911800,69,-21.37,55.62,80.6,5.82
248,Havelock,90,US,1520912460,93,34.88,-76.9,35.6,25.28
249,Acapulco,5,MX,1520909280,88,16.86,-99.88,77.0,4.7
250,Mitsamiouli,20,KM,1520910000,88,-11.38,43.28,75.2,4.7
251,Srednekolymsk,48,RU,1520913298,45,67.46,153.71,-14.95,3.38
252,Byron Bay,90,AU,1520910000,65,-28.65,153.62,78.8,14.99
253,Belaya Gora,8,RU,1520913299,87,68.54,146.19,-27.64,4.38
254,Sitka,0,US,1520913299,47,37.17,-99.65,40.5,8.19
255,Kenai,1,US,1520909760,74,60.55,-151.26,41.0,9.17
256,Namibe,0,AO,1520913300,100,-15.19,12.15,74.25,10.54
257,Svetlogorsk,75,RU,1520910000,75,53.14,59.15,-16.61,2.24
258,Brovst,92,DK,1520913301,95,57.1,9.52,33.93,8.41
259,Grindavik,0,IS,1520911800,79,63.84,-22.43,30.2,11.41
260,Ponca City,90,US,1520912100,55,36.73,-97.07,35.6,6.93
261,Makokou,68,GA,1520913302,90,0.56,12.85,75.69,2.93
262,Ugoofaaru,92,MV,1520913303,100,5.67,73.0,77.58,9.86
263,Bichena,12,ET,1520913304,60,10.45,38.2,50.67,1.59
264,Olinda,0,BR,1520910000,78,-22.82,-43.41,82.4,3.36
265,Qaanaaq,44,GL,1520913305,100,77.48,-69.36,-10.54,3.49
266,Svitavy,0,CZ,1520910000,75,49.76,16.47,46.4,12.75
267,Qaqortoq,8,GL,1520909400,67,60.72,-46.03,19.4,5.06
268,Kolda,0,SN,1520910000,65,12.89,-14.94,77.0,6.93
269,Koumac,92,NC,1520913307,97,-20.56,164.28,78.12,18.81
270,Orcopampa,92,PE,1520913307,100,-15.27,-72.34,34.02,1.81
271,Busayra,0,JO,1520913307,89,30.74,35.61,43.29,1.59
272,Saint George,90,BM,1520909700,94,32.38,-64.68,69.8,18.34
273,Leningradskiy,12,RU,1520913308,96,69.38,178.42,-8.2,12.77
274,Xunchang,76,CN,1520913310,94,28.45,104.71,58.32,3.27
275,College,1,US,1520909880,62,64.86,-147.8,28.4,3.36
276,Ibicui,80,BR,1520913310,90,-14.84,-39.99,75.06,3.38
277,Praia da Vitoria,40,PT,1520910000,77,38.73,-27.07,62.6,32.68
278,Elizabeth City,90,US,1520912400,100,36.3,-76.22,37.4,17.22
279,Kandrian,88,PG,1520913311,98,-6.21,149.55,78.75,3.94
280,Gueret,90,FR,1520911800,93,46.17,1.87,41.0,9.17
281,Washington DC.,90,US,1520912280,86,38.9,-77.04,37.4,6.93
282,Dalvik,40,IS,1520910000,68,65.97,-18.53,28.4,8.05
283,Sarahan,44,IN,1520913313,91,31.51,77.79,8.55,1.25
284,Guaraniacu,0,BR,1520910000,73,-25.1,-52.88,75.2,4.7
285,Belawan,92,ID,1520913314,100,-0.59,114.46,72.0,1.48
286,Kichera,8,RU,1520913315,60,55.93,110.1,8.37,2.59
287,Nalut,8,LY,1520913315,45,31.86,10.98,51.12,4.27
288,Bolanos de Calatrava,80,ES,1520913316,97,38.91,-3.66,44.82,10.42
289,Halkirk,36,GB,1520911200,100,58.51,-3.49,39.2,8.05
290,Matagami,90,CA,1520910000,85,49.76,-77.63,23.0,3.36
291,Myitkyina,0,MM,1520913318,81,25.38,97.4,67.59,3.15
292,Bathsheba,20,BB,1520910000,83,13.22,-59.52,77.0,20.8
293,Salamiyah,8,SY,1520913319,80,35.01,37.05,35.37,3.94
294,Yar-Sale,56,RU,1520913320,87,66.83,70.83,2.52,9.19
295,Itupiranga,20,BR,1520910000,100,-5.13,-49.33,77.0,1.12
296,Ndele,92,CF,1520913321,40,8.41,20.65,86.31,5.28
297,Nanortalik,0,GL,1520913322,100,60.14,-45.24,22.5,4.72
298,Hashtrud,0,IR,1520913322,74,37.48,47.05,22.23,2.59
299,Vao,76,NC,1520913323,97,-22.67,167.48,79.65,22.84
300,Coahuayana,8,MX,1520913323,35,18.62,-100.35,75.51,3.71
301,Banfora,36,BF,1520913324,76,10.64,-4.75,76.23,8.19
302,Voh,88,NC,1520913324,91,-20.95,164.69,79.47,21.05
303,Marystown,36,CA,1520913324,96,47.17,-55.16,33.93,15.46
304,San Ramon,20,BO,1520913325,73,-13.27,-64.62,80.55,7.29
305,Sept-Iles,90,CA,1520910000,54,50.2,-66.38,30.2,4.7
306,Honiara,75,SB,1520910000,79,-9.43,159.96,86.0,8.05
307,Klyuchi,0,RU,1520913327,67,52.25,79.17,-0.64,3.71
308,Garissa,0,KE,1520913328,83,-0.46,39.64,74.79,5.17
309,Vanimo,48,PG,1520913328,100,-2.67,141.3,83.16,16.24
310,Ancud,92,CL,1520913329,73,-41.87,-73.83,52.74,4.94
311,Bambanglipuro,8,ID,1520913329,80,-7.95,110.28,83.88,4.16
312,Los Llanos de Aridane,8,ES,1520911800,77,28.66,-17.92,60.8,6.93
313,Balabac,76,PH,1520913331,100,7.99,117.06,79.83,12.33
314,Constitucion,5,MX,1520908920,24,23.99,-104.67,68.0,10.09
315,Porbandar,0,IN,1520910000,94,21.64,69.61,69.8,8.08
316,Dingle,76,IE,1520913332,98,52.14,-10.27,44.64,8.19
317,Viradouro,0,BR,1520910000,83,-20.87,-48.29,75.2,3.36
318,Tshikapa,76,CD,1520913333,100,-6.42,20.79,71.37,2.37
319,Vostok,92,RU,1520913333,97,46.45,135.83,37.17,3.04
320,Fortuna,90,US,1520912100,87,40.6,-124.16,62.6,16.11
321,Leh,76,IN,1520913334,82,34.16,77.58,-1.36,0.92
322,Lagoa,75,PT,1520911800,100,37.14,-8.45,59.0,10.29
323,Mayuge,92,UG,1520913335,99,0.46,33.48,64.89,7.29
324,Cayenne,75,GF,1520911800,78,4.94,-52.33,78.8,5.82
325,Qinzhou,68,CN,1520913336,84,21.96,108.62,69.3,7.85
326,Kokopo,64,PG,1520913336,100,-4.34,152.27,81.72,9.98
327,Abnub,0,EG,1520910000,81,27.27,31.15,51.8,13.87
328,Urucara,76,BR,1520913337,99,-2.54,-57.76,73.53,3.71
329,Ornskoldsvik,92,SE,1520911200,100,63.29,18.72,28.4,8.05
330,Qasigiannguit,88,GL,1520909400,77,68.82,-51.19,6.8,1.12
331,Kahului,40,US,1520909760,77,20.89,-156.47,69.8,12.75
332,Biak,76,ID,1520913339,94,-0.91,122.88,82.17,1.36
333,Yaonahuac,64,MX,1520913339,94,19.87,-97.45,53.55,1.03
334,Touros,92,BR,1520913339,81,-5.2,-35.46,81.54,6.62
335,Oleksandrivka,0,UA,1520913341,86,48.74,37.49,17.91,9.86
336,Tomatlan,0,MX,1520913342,86,19.93,-105.25,69.57,2.48
337,Ducheng,44,CN,1520913342,79,30.54,114.9,66.96,6.29
338,Miraflores,0,CO,1520913343,97,5.2,-73.14,45.36,1.48
339,Teguldet,0,RU,1520913343,67,57.31,88.17,-4.42,2.59
340,Oranjemund,92,NA,1520913344,98,-28.55,16.43,63.45,3.6
341,Labuhan,92,ID,1520913344,97,-2.54,115.51,73.71,2.71
342,Isangel,48,VU,1520913345,94,-19.55,169.27,83.97,19.82
343,Amga,0,RU,1520913346,63,60.89,131.98,-0.1,3.71
344,Hithadhoo,44,MV,1520913346,100,-0.6,73.08,82.89,6.51
345,Saldanha,20,ZA,1520910000,93,-33.01,17.94,64.4,2.24
346,Dzhankoy,68,UA,1520913347,83,45.71,34.39,40.23,14.67
347,Rawson,0,AR,1520913310,30,-43.3,-65.11,58.32,20.83
348,Ohara,0,JP,1520910000,45,35.12,135.83,62.6,10.29
349,Killybegs,64,IE,1520913348,100,54.63,-8.45,41.49,7.96
350,Broome,44,AU,1520910000,44,-17.97,122.23,95.0,12.75
351,Bondoukou,68,CI,1520913349,96,8.04,-2.8,71.64,7.4
352,Nemuro,75,JP,1520910000,55,43.32,145.57,37.4,14.99
353,Barkhan,0,PK,1520913351,77,29.9,69.52,54.9,2.48
354,Constantine,0,DZ,1520911800,93,36.36,6.61,41.0,2.24
355,Yashkul,0,RU,1520913352,82,46.17,45.34,12.15,8.86
356,Vardo,75,NO,1520911200,116,70.37,31.11,21.2,14.99
357,Amuntai,92,ID,1520913353,99,-2.42,115.25,72.72,2.93
358,Quatre Cocos,40,MU,1520910000,74,-20.21,57.76,80.6,16.11
359,San Lorenzo,40,BO,1520910000,55,-17.53,-65.92,66.2,2.26
360,Kidal,0,ML,1520913355,30,18.44,1.41,62.82,3.15
361,Turayf,0,SA,1520910000,77,31.68,38.65,48.2,2.24
362,Mumford,0,GH,1520913356,95,5.26,-0.76,78.3,7.74
363,Dosso,0,NE,1520913357,57,13.05,3.19,67.14,2.93
364,Contai,0,IN,1520913358,85,21.78,87.75,82.08,11.32
365,Faanui,80,PF,1520913358,100,-16.48,-151.75,81.45,11.43
366,Saint Joseph,1,US,1520909580,55,39.77,-94.85,39.2,9.17
367,Lompoc,90,US,1520912340,100,34.64,-120.46,60.8,11.41
368,Watertown,1,US,1520912100,79,44.9,-97.12,24.8,10.29
369,Alta Floresta,36,BR,1520913360,96,-9.87,-56.08,75.15,2.15
370,Izhma,92,RU,1520913361,80,65.01,53.91,20.97,7.96
371,Lahad Datu,64,MY,1520913361,100,5.02,118.33,77.85,0.81
372,Fairbanks,1,US,1520909880,62,64.84,-147.72,28.4,3.36
373,Mao,0,TD,1520913362,14,14.12,15.31,72.99,13.22
